plot;abbr;layer;cov;comment;determined;history
p173;glob cord;hl;2;;;
p173;teuc mont;hl;2;;;
p173;sese aust;hl;1;;;
p173;lase sile sile;hl;2;;;
p173;card cras glau;hl;+;;;
p173;jovi glob hirt;hl;1;;;
p173;euph sali;hl;+;;;
p173;care humi;hl;1;;;
p173;meli cili;hl;1;;;
p173;gali luci;hl;2;;;
p173;heli numm obsc;hl;2;;;
p173;thym prae poly;hl;2;;cf.;
p173;vinc hiru;hl;2;;;
p173;dory germ;hl;1;;;
p173;sedu albu;hl;1;;;
p173;puls gran;hl;1;;;
p173;stac rect rect;hl;1;;;
p173;alli lusi;hl;1;;;
p173;poly odor;hl;1;;;
p173;sang mino mino;hl;1;;;
p173;gera sang;hl;1;;;
p173;lina geni;hl;1;;;
p173;teuc cham;hl;1;;;
p173;orig vulg;hl;1;;;
p173;scab ochr;hl;1;;;
p173;bupl falc falc;hl;1;;;
p173;verb chai aust;hl;1;;cf.;
p173;aspe cyna;hl;1;;;
p173;coro coro;hl;+;;;
p173;anth ramo;hl;+;;;
p173;euph cypa;hl;+;;;
p173;thal minu slat;hl;+;;;
p173;gent ascl;hl;+;;;
p173;aspl ruta;hl;+;;;
p173;brac pinn;hl;+;;;
p173;geni pilo;hl;+;;;
p173;hype perf;hl;r;;cf.;
p173;tort tort;ml;2;;;
p173;synt rura;ml;1;;;
p173;dian cart cart;hl;+;;cf.;
