plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;alliance.author;association;soil;comment;location;observer
sb01;85;20;25;30;80;5;13;9;3;0,9;0,25;25;10;S;45;20;0;0;2014-11-03;47.601939N;13.198235E;20;Tilenion platyphylli;(Moor 1973) Müller 1992;;Rendzina;entlang Felskante;Kellauwand;R. Kaiser
sb02;35;0;0;10;35;3;0;0;2;0,3;0,05;8;8;S;70;65;0;0;2014-11-03;47.601979N;13.198314E;20;Berberidion;Br.-Bl. ex Tx. 1952;;Rendzina;;Kellauwand;R. Kaiser
sb03;;;;;;;;;;;;;;;;;;;2017-05-13;47.60114;13.20271;10;Tilenion platyphylli;;;Rendzina;Felsfuß;Kellauwand;R. Kaiser
sb04;;;;;;;;;;;;;;;;;;;2017-05-13;47.60138;13.20244;20;Tilenion platyphylli;;;Rendzina;Felsfuß;Kellauwand;R. Kaiser
sbx01;;;;;;;;;;;;;;;;;;;2017-05-13;47.60192;13.20028;10;Tilenion platyphylli;;;;planned, easy, Hangschutt unterhalb Felswand;Kellauwand;R. Kaiser
sbx02;;;;;;;;;;;;;;;;;;;2017-05-13;47.60177;13.20303;50;Cephalanthero-Fagenion;;;;planned, moderate climb;;
sbx03;;;;;;;;;;;;;;;;;;;2017-05-13;47.60160;13.20292;50;Cephalanthero-Fagenion;;;;planned, abseiling, rope betray;;
sbx04;;;;;;;;;;;;;;;;;;;2017-05-13;47.60148;13.20285;50;Tilenion platyphylli;;;;planned, abseiling;;
sbx05;;;;;;;;;;;;;;;;;;;2017-05-13;47.60141;13.20280;50;Tilenion platyphylli;;;;planned, abseiling;;
sbx06;;;;;;;;;;;;;;;;;;;2017-05-13;47.60133;13.20276;50;Tilenion platyphylli;;;;planned, abseiling, scond belay station;;
sbx07;;;;;;;;;;;;;;;;;;;2017-05-13;47.60127;13.20273;50;Tilenion platyphylli;;;;planned, abseiling;;
sbx08;;;;;;;;;;;;;;;;;;;2017-05-13;47.60120;13.20269;50;Tilenion platyphylli;;;;planned, abseiling;;
